runId,전략,코인페어,타임프레임,전체시작일,전체종료일,학습기간종료일,테스트기간종료일,초기자금,세그먼트,총수익률(%),승률(%),최대낙폭(%),샤프비율,소르티노비율,칼마비율,총거래,승리거래,패배거래,평균수익(%),평균손실(%),생성일시
176,COMPOSITE_MOMENTUM,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 20:00:00,2022-11-06 18:00:00,1000000.00,W0_OUT,-7.05,8.33,-9.08,-1.8485,-2.9464,-4.1763,12,,,,,2026-04-24 10:02:06
176,COMPOSITE_MOMENTUM,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 19:00:00,,1000000.00,W1_IN,0.64,10.0,-7.8,0.1474,0.4267,0.1476,20,,,,,2026-04-24 10:02:06
176,COMPOSITE_MOMENTUM,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2023-06-11 19:00:00,2023-09-12 22:00:00,1000000.00,W1_OUT,-2.45,0.0,-2.45,-3.6942,-3.649,-4.4271,3,,,,,2026-04-24 10:02:06
176,COMPOSITE_MOMENTUM,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-04-16 23:00:00,,1000000.00,W2_IN,-4.12,10.53,-8.81,-0.3542,-0.6548,-0.9433,19,,,,,2026-04-24 10:02:06
176,COMPOSITE_MOMENTUM,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2024-04-16 23:00:00,2024-07-19 00:00:00,1000000.00,W2_OUT,0.49,8.33,-5.45,0.2156,0.717,0.4518,12,,,,,2026-04-24 10:02:06
176,COMPOSITE_MOMENTUM,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-02-20 23:00:00,,1000000.00,W3_IN,42.11,26.67,-5.87,2.61,20.0646,28.3147,15,,,,,2026-04-24 10:02:06
176,COMPOSITE_MOMENTUM,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-02-20 23:00:00,2025-05-25 00:00:00,1000000.00,W3_OUT,18.39,25.0,-8.44,1.5486,11.1099,16.0341,12,,,,,2026-04-24 10:02:06
176,COMPOSITE_MOMENTUM,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-12-27 23:00:00,,1000000.00,W4_IN,-4.03,13.33,-9.34,-0.6418,-1.4276,-1.0135,15,,,,,2026-04-24 10:02:06
176,COMPOSITE_MOMENTUM,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2025-12-27 23:00:00,2026-03-30 23:00:00,1000000.00,W4_OUT,7.25,50.0,-0.58,2.9751,40.2941,201.34,2,,,,,2026-04-24 10:02:06
176,COMPOSITE_MOMENTUM,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,,,1000000.00,AGG_OUT,16.62,14.63,-16.82,0.3112,1.382,0.2679,41,,,,,2026-04-24 10:02:06
175,COMPOSITE_BREAKOUT,KRW-XRP,H1,2022-01-01 00:00:00,2026-04-24 00:00:00,2022-08-05 20:00:00,,1000000.00,W0_IN,20.08,33.33,-2.85,2.0016,12.9649,16.5368,9,,,,,2026-04-24 10:01:18
